slug	mcp_url	initialize_status	protected_resource_status	auth_server	dcr	notes
deepwiki	https://mcp.deepwiki.com/mcp	200	404	none	n/a	
descript	https://mcp.descript.com/mcp	ERR	ERR	none	n/a	
devin	https://mcp.devin.ai/mcp	200	404	none	n/a	
dialpad	https://mcp.dialpad.com/mcp	ERR	ERR	none	n/a	
digits	https://api.digits.com/mcp	401	200 (https://api.digits.com/.well-known/oauth-protected-resource)	https://api.digits.com	yes (https://api.digits.com/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://api.digits.com/.well-known/oauth-protected-resource"
docebo	https://mcp.docebo.com/mcp	ERR	ERR	none	n/a	
docker	https://mcp.docker.com/mcp	404	404	none	n/a	
docusign	https://mcp.docusign.com/mcp	403	200 (https://mcp.docusign.com/.well-known/oauth-protected-resource)	https://mcp.docusign.com	no	
dovetail	https://dovetail.com/api/mcp	401	200 (https://dovetail.com/.well-known/oauth-protected-resource/api/mcp)	https://auth.dovetail.com	yes (https://auth.dovetail.com/oidc/register)	www-auth: www-authenticate: Bearer realm="dovetail-mcp", error="invalid_request", error_description="Authentication required", resource="https://dovetail.com/api/mcp", re
drata	https://mcp.drata.com/mcp/	401	200 (https://mcp.drata.com/.well-known/oauth-protected-resource)	https://mcp.drata.com/auth0-proxy	yes (https://drata-prod.us.auth0.com/oidc/register)	www-auth: www-authenticate: Bearer realm="drata-mcp"
egnyte	https://mcp-server.egnyte.com/mcp	401	200 (https://mcp-server.egnyte.com/.well-known/oauth-protected-resource/mcp)	https://mcp-oauth.egnyte.com/egnyte-connect	yes (https://mcp-oauth.egnyte.com/clients)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp-server.egnyte.com/.well-known/oauth-protected-resource"
elastic	https://mcp.elastic.co/mcp	ERR	ERR	none	n/a	
enterpret	https://wisdom-api.enterpret.com/server/mcp	401	200 (https://wisdom-api.enterpret.com/.well-known/oauth-protected-resource/server/mcp)	https://oauth.enterpret.com	yes (https://oauth.enterpret.com/register)	www-auth: www-authenticate: Bearer realm="mcp", resource_metadata="https://wisdom-api.enterpret.com/server/mcp/.well-known/oauth-protected-resource", scope="mcp:read mcp:
eraser	https://app.eraser.io/api/mcp	401	200 (https://app.eraser.io/.well-known/oauth-protected-resource/api/mcp)	https://app.eraser.io	yes (https://app.eraser.io/api/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://app.eraser.io/.well-known/oauth-protected-resource/api/mcp", scope="*"
exa	https://mcp.exa.ai/mcp	200	200 (https://mcp.exa.ai/.well-known/oauth-protected-resource/mcp)	https://auth.exa.ai	yes (https://auth.exa.ai/api/oauth/register)	
expensify	https://mcp.expensify.com/mcp	308	200 (https://mcp.expensify.com/.well-known/oauth-protected-resource/mcp)	https://www.expensify.com	yes (https://www.expensify.com/oauth/register)	
fellow	https://mcp.fellow.app/mcp	404	404	none	n/a	
figma	https://mcp.figma.com/mcp	401	200 (https://mcp.figma.com/.well-known/oauth-protected-resource/mcp)	https://api.figma.com	yes (https://api.figma.com/v1/oauth/mcp/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.figma.com/.well-known/oauth-protected-resource",scope="mcp:connect",authorization_uri="https://api.figma
firecrawl	https://mcp.firecrawl.dev/mcp	200	200 (https://mcp.firecrawl.dev/.well-known/oauth-protected-resource/mcp)	https://www.firecrawl.dev	yes (https://www.firecrawl.dev/api/oauth/register)	
fivetran	https://mcp.fivetran.com/mcp	ERR	ERR	none	n/a	
fmp	https://financialmodelingprep.com/mcp	401	200 (https://financialmodelingprep.com/.well-known/oauth-protected-resource)	https://financialmodelingprep.com	no	www-auth: www-authenticate: Bearer resource_metadata="https://financialmodelingprep.com/.well-known/oauth-protected-resource", error="invalid_token", error_description="A
freshdesk	https://mcp.freshworks.com/mcp	400	400	none	n/a	
front	https://mcp.frontapp.com/mcp	401	200 (https://mcp.frontapp.com/.well-known/oauth-protected-resource/mcp)	https://app.frontapp.com	no	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.frontapp.com/.well-known/oauth-protected-resource"
gainsight	https://mcp.gainsight.com/mcp	ERR	ERR	none	n/a	
gamma	https://mcp.gamma.app/mcp	401	200 (https://mcp.gamma.app/.well-known/oauth-protected-resource)	https://auth.gamma.app	yes (https://auth.gamma.app/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.gamma.app/.well-known/oauth-protected-resource"
gitbook	https://mcp.gitbook.com/mcp	401	200 (https://mcp.gitbook.com/.well-known/oauth-protected-resource)	https://oauth.gitbook.com	yes (https://oauth.gitbook.com/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.gitbook.com/.well-known/oauth-protected-resource"
gitlab	https://gitlab.com/api/v4/mcp	401	200 (https://gitlab.com/.well-known/oauth-protected-resource/api/v4/mcp)	https://gitlab.com	yes (https://gitlab.com/oauth/register)	www-auth: www-authenticate: Bearer realm="GitLab", resource_metadata="https://gitlab.com/.well-known/oauth-protected-resource/api/v4/mcp"
globalping	https://mcp.globalping.dev/mcp	401	200 (https://mcp.globalping.dev/.well-known/oauth-protected-resource/mcp)	https://mcp.globalping.dev	yes (https://mcp.globalping.dev/register)	www-auth: www-authenticate: Bearer realm="OAuth", resource_metadata="https://mcp.globalping.dev/.well-known/oauth-protected-resource/mcp", error="invalid_token", error_de
gocardless	https://mcp.gocardless.com/mcp	401	200 (https://mcp.gocardless.com/.well-known/oauth-protected-resource)	https://mcp.gocardless.com	yes (https://mcp.gocardless.com/register)	www-auth: www-authenticate: Bearer realm="GoCardless MCP", resource_metadata="https://mcp.gocardless.com/.well-known/oauth-protected-resource"
gorgias	https://mcp.gorgias.com/mcp	401	200 (https://mcp.gorgias.com/.well-known/oauth-protected-resource/mcp)	https://mcp.gorgias.com	yes (https://mcp.gorgias.com/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication failed. The provided bearer token is invalid, expired, or no longer recognized
grafana	https://mcp.grafana.com/mcp	401	200 (https://mcp.grafana.com/.well-known/oauth-protected-resource/mcp)	https://mcp.grafana.com/mcp	yes (https://mcp.grafana.com/mcp/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.grafana.com/.well-known/oauth-protected-resource/mcp"
grain	https://api.grain.com/_/mcp	401	200 (https://api.grain.com/.well-known/oauth-protected-resource/_/mcp)	https://api.grain.com	yes (https://api.grain.com/_/mcp/oauth_registration)	www-auth: www-authenticate: Bearer resource_metadata="https://grain.com/.well-known/oauth-protected-resource"
greenhouse	https://mcp.greenhouse.io/mcp	ERR	ERR	none	n/a	
gusto	https://mcp.api.gusto.com/anthropic	401	200 (https://mcp.api.gusto.com/.well-known/oauth-protected-resource)	https://mcp.api.gusto.com	yes (https://mcp.api.gusto.com/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.api.gusto.com/.well-known/oauth-protected-resource"
harmonic	https://mcp.api.harmonic.ai/	401	200 (https://mcp.api.harmonic.ai/.well-known/oauth-protected-resource)	https://mcp.api.harmonic.ai/	yes (https://mcp.api.harmonic.ai/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication failed. The provided bearer token is invalid, expired, or no longer recognized
